codigo,codigo_padre,descripcion,fecha_desde,impuestos_cliente,impuestos_proveedor
44240.11.1,44240.11,"OTRAS MAQUINAS Y APARATOS DE FUNCIONAMIENTO A GAS: APARATOS DE RANURAR, DE SOLDADURA FUERTE, APARATOS PARA TRABAJAR METALES, EQUIPO DE SOLDADURA AUTOGENA, SOPLETES, ETC.",,,
44240.19,44240,"OTRAS MAQUINAS Y APARATOS: MAQUINAS DE SOLDADURA AUTOGENA POR FRICCION, MAQUINAS Y APARATOS DE SOLDADURA AUTOGENA, DE RUEDA RANURADA, MAQUINAS Y APARATOS DE SOLDADURA AUTOGENA QUE UTILIZAN HIERROS CALENTADOS, ETC.",2008-01-25,,
44240.19.1,44240.19,"OTRAS MAQUINAS Y APARATOS: MAQUINAS DE SOLDADURA AUTOGENA POR FRICCION, MAQUINAS Y APARATOS DE SOLDADURA AUTOGENA, DE RUEDA RANURADA, MAQUINAS Y APARATOS DE SOLDADURA AUTOGENA QUE UTILIZAN HIERROS CALENTADOS, ETC.",,,
4425,442,PORTAHERRAMIENTAS  PORTADADOS DE APERTURA AUTOMATICA  PORTAPIEZAS  CABEZALES DIVISORIOS Y OTROS ACCESORIOS ESPECIALES PARA MAQUINAS HERRAMIENTAS; PORTAHERRAMIENTAS PARA CUALQUIER TIPO DE HERRAMIENTAS DE USO MANUAL; OTRAS PARTES  PIEZAS Y ACCESORIOSDE MAQU,2008-01-25,,
44251,4425,"PORTAHERRAMIENTAS, PORTADADOS DE APERTURA AUTOMATICA, PORTAPIEZAS, CABEZALES DIVISORIOS Y OTROS ACCESORIOS ESPECIALES PARA MAQUINAS HERRAMIENTAS; PORTAHERRAMIENTAS PARA CUALQUIER TIPO DE HERRAMIENTAS DE USO MANUAL; OTRAS PARTES, PIEZAS Y ACCESORIOSDE MAQU",2008-01-25,,
44251,44251,"PORTAHERRAMIENTAS Y PORTADADOS DE APERTURA AUTOMATICA: BARRAS DE PERFORAR, PARA MAQUINAS - HERRAMIENTAS, CABEZAS DE TERRAJAR RETRACTILES, COLUMNAS DE HERRAMIENTA, PARA TORNOS, MOSQUITOS CONICOS, PARA TALADROS, PLATOS PORTAHERRAMIENTAS, PORTAFRESAS,ETC.",2008-01-25,,
44251.00.1,44251,"PORTAHERRAMIENTAS Y PORTADADOS DE APERTURA AUTOMATICA: BARRAS DE PERFORAR, PARA MAQUINAS - HERRAMIENTAS, CABEZAS DE TERRAJAR RETRACTILES, COLUMNAS DE HERRAMIENTA, PARA TORNOS, MOSQUITOS CONICOS, PARA TALADROS, PLATOS PORTAHERRAMIENTAS, PORTAFRESAS,ETC.",,,
44251.01,44251,"PORTAPIEZAS: CENTROS DE TORNO PARA SUJETAR PIEZAS, CUNAS SUJETAPIEZAS, GARRAS DE SUJECION, PARA PLATOS DE TORNO, MESAS PORTAPIEZAS, PLACAS ANGULARES PORTAPIEZAS, PORTA ALMOHADILLAS DE SUJETAR PIEZAS, ETC.",2008-01-25,,
44251.01.1,44251.01,"PORTAPIEZAS: CENTROS DE TORNO PARA SUJETAR PIEZAS, CUNAS SUJETAPIEZAS, GARRAS DE SUJECION, PARA PLATOS DE TORNO, MESAS PORTAPIEZAS, PLACAS ANGULARES PORTAPIEZAS, PORTA ALMOHADILLAS DE SUJETAR PIEZAS, ETC.",,,
44251.02,44251,"CABEZALES DIVISORIOS Y OTROS ACCESORIOS ESPECIALES PARA MAQUINAS HERRAMIENTAS: ACCESORIOS DE ACABAR SUPERFICIES, DE CENTRAR, DE COPIAR, DE DUPLICAR, DE NIVELAR, DE SEPARAR EN EL CARRO, CABEZALES DE DIVIDIR, CONTRAPUNTOS, DISPOSITIVOS AUXILIARES, ETC.",2008-01-25,,
44251.02.1,44251.02,"CABEZALES DIVISORIOS Y OTROS ACCESORIOS ESPECIALES PARA MAQUINAS HERRAMIENTAS: ACCESORIOS DE ACABAR SUPERFICIES, DE CENTRAR, DE COPIAR, DE DUPLICAR, DE NIVELAR, DE SEPARAR EN EL CARRO, CABEZALES DE DIVIDIR, CONTRAPUNTOS, DISPOSITIVOS AUXILIARES, ETC.",,,
44251.1,44251,"PARTES, PIEZAS  Y  ACCESORIOS N.C.P., ADECUADOS PARA LAS MAQUINAS HERRAMIENTAS QUE TRABAJAN POR REMOCION DE METAL U OTRO MATERIAL.",2008-01-25,,
44251.10.1,44251.1,"PARTES, PIEZAS  Y  ACCESORIOS N.C.P., ADECUADOS PARA LAS MAQUINAS HERRAMIENTAS QUE TRABAJAN POR REMOCION DE METAL U OTRO MATERIAL.",,,
44251.11,44251,"PARTES, PIEZAS  Y  ACCESORIOS N.C.P., ADECUADOS PARA LAS MAQUINAS HERRAMIENTAS PARA TRABAJAR METALES, CARBUROS METALICOS SINTERIZADOS O MATERIALES METALOCERAMICOS SIN REMOCION DE MATERIAL.",2008-01-25,,
44251.11.1,44251.11,"PARTES, PIEZAS  Y  ACCESORIOS N.C.P., ADECUADOS PARA LAS MAQUINAS HERRAMIENTAS PARA TRABAJAR METALES, CARBUROS METALICOS SINTERIZADOS O MATERIALES METALOCERAMICOS SIN REMOCION DE MATERIAL.",,,
44252,4425,"PARTES, PIEZAS Y ACCESORIOS PARA MAQUINAS HERRAMIENTAS PARA TRABAJAR PRODUCTOS CERAMICOS, HORMIGON, ASBESTOCEMENTO O MATERIALES MINERALES ANALOGOS O PARA TRABAJAR EL VIDRIO EN FRIO; PARTES, PIEZAS Y ACCESORIOS DE MAQUINAS HERRAMIENTAS PARA TRABAJAR MADERA",2008-01-25,,
44252,44252,"PARTES, PIEZAS Y ACCESORIOS ADECUADOS PARA USAR EXCLUSIVA O PRINCIPALMENTE CON LAS MAQUINAS HERRAMIENTAS  ESPECIALES PARA DETERMINADAS INDUSTRIAS: CABEZALES, CONTRAPUNTOS, DISPOSITIVOS, ETC.",2008-01-25,,
44252.00.1,44252,"PARTES, PIEZAS Y ACCESORIOS ADECUADOS PARA USAR EXCLUSIVA O PRINCIPALMENTE CON LAS MAQUINAS HERRAMIENTAS  ESPECIALES PARA DETERMINADAS INDUSTRIAS: CABEZALES, CONTRAPUNTOS, DISPOSITIVOS, ETC.",,,
44253,4425,"PARTES Y PIEZAS DE LAS HERRAMIENTAS DE USO MANUAL, NEUMATICOS O CON UN MOTOR ELECTRICO INCORPORADO",2008-01-25,,
44253,44253,"PARTES  Y  PIEZAS  DE  LAS  HERRAMIENTAS  DE  USO  MANUAL, NEUMATICAS  O  CON   MOTOR  NO  ELECTRICO  INCORPORADO:  SIERRAS O TROZADORAS  DE  CADENA,  ETC.",2008-01-25,,
44253.00.1,44253,"PARTES  Y  PIEZAS  DE  LAS  HERRAMIENTAS  DE  USO  MANUAL, NEUMATICAS  O  CON   MOTOR  NO  ELECTRICO  INCORPORADO:  SIERRAS O TROZADORAS  DE  CADENA,  ETC.",,,
44254,4425,"PARTES Y PIEZAS DE LAS HERRAMIENTAS ELECTROMECANICAS DE USO MANUAL, CON MOTOR ELECTRICO INCORPORADO",2008-01-25,,
44254,44254,"PARTE Y PIEZAS DE LAS HERRAMIENTAS ELECTROMECANICAS DE USO MANUAL, CON MOTOR ELECTRICO INCORPORADO.",2008-01-25,,
44254.00.1,44254,"PARTE Y PIEZAS DE LAS HERRAMIENTAS ELECTROMECANICAS DE USO MANUAL, CON MOTOR ELECTRICO INCORPORADO.",,,
44255,4425,"PARTES Y PIEZAS DE MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, PARTES Y PIEZAS DE LAS MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, SOLDADURA FUERTE O SOLDADURA AUTOGENA; MAQUINAS Y APARATOS DE FUNCIONAMIENTO A GAS PARA TEMPLADO DE SUPERFICIES; MAQUINAS Y APA",2008-01-23,,
44255,44255,"PARTES Y PIEZAS DE LAS MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, FUERTE O AUTOGENA POR MEDIOS  ELECTRICOS, RAYOS LASER U OTROS HACES DE LUZ O FOTONES: BOQUILLAS, CABEZALES, ELECTRODOS DE CONTACTO METALICO, MORDAZAS, PUNTAS DE SOPLETE, RODILLOS, ETC.",2008-01-25,,
44255.00.1,44255,"PARTES Y PIEZAS DE LAS MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, FUERTE O AUTOGENA POR MEDIOS  ELECTRICOS, RAYOS LASER U OTROS HACES DE LUZ O FOTONES: BOQUILLAS, CABEZALES, ELECTRODOS DE CONTACTO METALICO, MORDAZAS, PUNTAS DE SOPLETE, RODILLOS, ETC.",,,
44255.1,44255,"PARTES Y PIEZAS DE LAS MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, FUERTE Y AUTOGENA, CON O SIN CAPACIDAD PARA HACER CORTES, MAQUINAS Y APARATOS DE FUNCIONAMIENTO A GAS PARA TEMPLADO DE SUPERFICIE: BOLAS,  BOQUILLAS PARA SOPORTE, BRAZOS ARTICULADOS, MESAS ",2008-01-25,,
44255.10.1,44255.1,"PARTES Y PIEZAS DE LAS MAQUINAS Y APARATOS PARA SOLDADURA BLANDA, FUERTE Y AUTOGENA, CON O SIN CAPACIDAD PARA HACER CORTES, MAQUINAS Y APARATOS DE FUNCIONAMIENTO A GAS PARA TEMPLADO DE SUPERFICIE: BOLAS,  BOQUILLAS PARA SOPORTE, BRAZOS ARTICULADOS, MESAS ",,,
443,44,MAQUINARIA PARA LA INDUSTRIA METALURGIA Y SUS PARTES Y PIEZAS,2008-01-23,,
4431,443,"CONVERTIDORES, CALDEROS DE COLADA, LINGOTERAS Y MAQUINAS DE COLAR DEL TIPO USADO EN LA INDUSTRIA METALURGICA O EN LAS FUNDICIONES; LAMINADORAS PARA METALES",2008-01-25,,
44310,4431,"CONVERTIDORES, CALDEROS DE COLADA, LINGOTERAS Y MAQUINAS DE COLAR DEL TIPO USADO EN LA INDUSTRIA METALURGICA O EN LAS FUNDICIONES; LAMINADORAS PARA METALES",2008-01-23,,
44310,44310,"CONVERTIDORES, CALDEROS DE COLADA Y LINGOTERAS: CALDEROS DE COLADA PARA FUNDICIONES DE METALES, CONVERTIDORES BESSEMER, CONVERTIDORES CILINDRICOS ROTATORIOS, CONVERTIDORES CONICOS, CONVERTIDORES DE SOLERA ABIERTA, CONVERTIDORES KALDO, CONVERTIDORES LD, CO",2008-01-25,,
44310.00.1,44310,"CONVERTIDORES, CALDEROS DE COLADA Y LINGOTERAS: CALDEROS DE COLADA PARA FUNDICIONES DE METALES, CONVERTIDORES BESSEMER, CONVERTIDORES CILINDRICOS ROTATORIOS, CONVERTIDORES CONICOS, CONVERTIDORES DE SOLERA ABIERTA, CONVERTIDORES KALDO, CONVERTIDORES LD, CO",,,
44310.01,44310,"MAQUINAS   DE  FUNDIR:  CENTRIFUGAS,  CONTINUAS,  MAQUINAS  DE MOLDEAR,  ETC.",2008-01-25,,
44310.01.1,44310.01,"MAQUINAS   DE  FUNDIR:  CENTRIFUGAS,  CONTINUAS,  MAQUINAS  DE MOLDEAR,  ETC.",,,
44310.1,44310,"LAMINADORAS PARA METALES: LAMINADORAS DE PERFORAR PALANQUILLA, LAMINADORAS DE TUBOS METALICOS, LAMINADORAS EN CALIENTE  Y EN FRIO, PARA METALES FERROSOS O NO FERROSOS, LAMINADORAS PARA DISCOS METALICOS, LAMINADORAS PARA RUEDAS METALICAS, ETC.",2008-01-25,,
44310.10.1,44310.1,"LAMINADORAS PARA METALES: LAMINADORAS DE PERFORAR PALANQUILLA, LAMINADORAS DE TUBOS METALICOS, LAMINADORAS EN CALIENTE  Y EN FRIO, PARA METALES FERROSOS O NO FERROSOS, LAMINADORAS PARA DISCOS METALICOS, LAMINADORAS PARA RUEDAS METALICAS, ETC.",,,
4432,443,"PARTES Y PIEZAS DE CONVERTIDORES, CALDEROS DE COLADA, LINGOTERAS Y MAQUINAS DE COLAR DEL TIPO USADO EN LA INDUSTRIA METALURGICA O EN LAS FUNDICIONES; LAMINADORAS PARA METALES",2008-01-25,,
44320,4432,"PARTES Y PIEZAS DE CONVERTIDORES, CALDEROS DE COLADA, LINGOTERAS Y MAQUINAS DE COLAR DEL TIPO USADO EN LA INDUSTRIA METALURGICA O EN LAS FUNDICIONES; LAMINADORAS PARA METALES",2008-01-23,,
44320,44320,"PARTES Y PIEZAS DE CONVERTIDORES, CALDERAS DE COLADA, LINGOTERAS Y MAQUINAS DE FUNDIR CENTRIFUGAS: MESAS GIRATORIAS, PARA MAQUINAS DE COLAR POR CENTRIFUGACION, PISTONES PARA MAQUINAS DE FUNDIR TROQUELES, RODILLOS, DE MAQUINAS DE COLAR METALES, ETC.",2008-01-25,,
44320.00.1,44320,"PARTES Y PIEZAS DE CONVERTIDORES, CALDERAS DE COLADA, LINGOTERAS Y MAQUINAS DE FUNDIR CENTRIFUGAS: MESAS GIRATORIAS, PARA MAQUINAS DE COLAR POR CENTRIFUGACION, PISTONES PARA MAQUINAS DE FUNDIR TROQUELES, RODILLOS, DE MAQUINAS DE COLAR METALES, ETC.",,,
44320.1,44320,"CILINDROS  Y  OTRAS  PARTES  Y  PIEZAS  DE  LAMINADORAS   PARA METALES: MANDRILES  PARA  LAMINADORAS  DE  PERFORAR  PALANQUILLA, RODILLOS  PARA LAMINADORAS DE METALES, ETC.",2008-01-25,,
44320.10.1,44320.1,"CILINDROS  Y  OTRAS  PARTES  Y  PIEZAS  DE  LAMINADORAS   PARA METALES: MANDRILES  PARA  LAMINADORAS  DE  PERFORAR  PALANQUILLA, RODILLOS  PARA LAMINADORAS DE METALES, ETC.",,,
444,44,"MAQUINARIA PARA LA MINERIA, LA EXPLOTACION DE CANTERAS Y LA CONSTRUCCION, Y SUS PARTES Y PIEZAS",2008-01-23,,
4441,444,ELEVADORES Y TRANSPORTADORES DE ACCION CONTINUA  PARA MERCANCIAS O MATERIALES  DISENADOS ESPECIALMENTE PARA USO SUBTERRANEO; CORTADORAS DE CARBON O DE ROCA Y MAQUINAS EXCAVADORAS DE TUNELES; OTRAS MAQUINAS PARA HACER PERFORACIONES O POZOS,2008-01-25,,
44411,4441,"ELEVADORES Y TRANSPORTADORES DE ACCION CONTINUA, PARA MERCANCIAS O MATERIALES, DISENADOS ESPECIALMENTE PARA USO SUBTERRANEO",2008-01-23,,
44411,44411,"ELEVADORES Y TRANSPORTADORES  DE ACCION CONTINUA, PARA MERCANCIAS O MATERIALES,  DISENADOS ESPECIALMENTE PARA USO SUBTERRANEO: MONTACARGAS DE CADENA, MONTACARGAS DE CANGILONES, MONTACARGAS DE CORREA, TRANSPORTADORAS DE BANDA O CORREA, TRANSPORTADORES DE C",2008-01-25,,
44411.00.1,44411,BANDAS TRANSPORTADORAS,,,
44411.00.2,44411,"ELEVADORES Y TRANSPORTADORES  DE ACCION CONTINUA, PARA MERCANCIAS O MATERIALES,  DISENADOS ESPECIALMENTE PARA USO SUBTERRANEO: MONTACARGAS DE CADENA, MONTACARGAS DE CANGILONES, MONTACARGAS DE CORREA, TRANSPORTADORAS DE BANDA O CORREA, TRANSPORTADORES DE C",,,
44412,4441,CORTADORAS DE CARBON O DE ROCA Y MAQUINAS EXCAVADORAS DE TUNELES; OTRAS MAQUINAS PARA HACER PERFORACIONES O POZOS,2008-01-23,,
44412,44412,"CORTADORAS DE CARBON O DE ROCA Y MAQUINAS EXCAVADORAS DE TUNELES, AUTOPROPULSADAS: ESCARIADORAS MECANIZADAS, MAQUINAS TALADRADORAS, ETC.",2008-01-25,,
44412.00.1,44412,"CORTADORAS DE CARBON O DE ROCA Y MAQUINAS EXCAVADORAS DE TUNELES, AUTOPROPULSADAS: ESCARIADORAS MECANIZADAS, MAQUINAS TALADRADORAS, ETC.",,,
44412.09,44412,"OTRAS MAQUINAS PARA HACER PERFORACIONES O POZOS, AUTOPROPULSADAS: MAQUINAS PERFORADORAS DE POZOS, MAQUINAS PROFUNDIZADORAS DE POZOS, MAQUINAS TALADRADORAS DE POZOS, MAQUINAS TALADRADORAS ROTATORIAS, ETC.",2008-01-25,,
44412.09.1,44412.09,"OTRAS MAQUINAS PARA HACER PERFORACIONES O POZOS, AUTOPROPULSADAS: MAQUINAS PERFORADORAS DE POZOS, MAQUINAS PROFUNDIZADORAS DE POZOS, MAQUINAS TALADRADORAS DE POZOS, MAQUINAS TALADRADORAS ROTATORIAS, ETC.",,,
44412.1,44412,"CORTADORAS DE CARBON O ROCA, Y MAQUINAS EXCAVADORAS DE TUNELES, NO AUTOPROPULSADAS.",2008-01-25,,
44412.10.1,44412.1,"CORTADORAS DE CARBON O ROCA, Y MAQUINAS EXCAVADORAS DE TUNELES, NO AUTOPROPULSADAS.",,,
44412.19,44412,"OTRAS  MAQUINAS  PARA  HACER  PERFORACIONES  O  POZOS,  NO AUTOPROPULSADOS:  ARADOS  CORTADORES  DE  CARBON,  CUNAS HIDRAULICAS, DESPRENDEDORES  DE  CARBON  O  ARCILLA,  MAQUINAS DE  BARRENAR,  MAQUINAS PARA ABRIR POZOS, MAQUINAS TALADRADORAS, ETC.",2008-01-25,,
44412.19.1,44412.19,"OTRAS  MAQUINAS  PARA  HACER  PERFORACIONES  O  POZOS,  NO AUTOPROPULSADOS:  ARADOS  CORTADORES  DE  CARBON,  CUNAS HIDRAULICAS, DESPRENDEDORES  DE  CARBON  O  ARCILLA,  MAQUINAS DE  BARRENAR,  MAQUINAS PARA ABRIR POZOS, MAQUINAS TALADRADORAS, ETC.",,,
4442,444,OTRAS MAQUINAS MOVEDORAS  CONFORMADORAS  NIVELADORAS  RAEDORAS  EXCAVADORAS  APISONADORAS  COMPACTADORAS O EXTRACTORAS  PARA TIERRA  MINERALES O MENAS (INCLUSO TOPADORAS  PALAS MECANICAS Y APLANADORAS DE CAMINOS)  AUTOPROPULSADAS,2008-01-25,,
44421,4442,"TOPADORAS Y TOPADORAS ANGULARES, AUTOPROPULSADAS",2008-01-23,,
44421,44421,"EXPLANADORAS Y TOPADORAS ANGULARES, AUTOPROPULSADAS.",2008-01-25,,
44421.00.1,44421,"EXPLANADORAS Y TOPADORAS ANGULARES, AUTOPROPULSADAS.",,,
44421.01,44421,EQUIPOS CAMINEROS,2008-01-25,,
44421.01.1,44421.01,EQUIPOS CAMINEROS,2008-01-25,,
44422,4442,"CONFORMADORAS Y NIVELADORAS, AUTOPROPULSADAS",2008-01-23,,
44422,44422,"CONFORMADORAS Y NIVELADORAS, AUTOPROPULSADAS.",2008-01-25,,
44422.00.1,44422,"CONFORMADORAS Y NIVELADORAS, AUTOPROPULSADAS.",,,
44423,4442,"RAEDORAS, AUTOPROPULSADAS",2008-01-23,,
44423,44423,"RAEDERAS AUTOPROPULSADAS: RAEDERAS DE ARRASTRE, RAEDERAS PARA MOVIMIENTO DE TIERRA, ETC.",2008-01-25,,
44423.00.1,44423,"RAEDERAS AUTOPROPULSADAS: RAEDERAS DE ARRASTRE, RAEDERAS PARA MOVIMIENTO DE TIERRA, ETC.",,,
44424,4442,"MAQUINAS APISONADORAS Y APLANADORAS DE CAMINOS, AUTOPROPULSADAS",2008-01-23,,
44424,44424,"MAQUINAS APISONADORAS Y APLANADORAS DE CAMINOS, AUTOPROPULSADAS.",2008-01-25,,
44424.00.1,44424,"MAQUINAS APISONADORAS Y APLANADORAS DE CAMINOS, AUTOPROPULSADAS.",,,
44425,4442,"CARGADORAS DE PALA FRONTALES, AUTOPROPULSADAS",2008-01-23,,
44425,44425,"CARGADORAS DE PALA FRONTALES, AUTOPROPULSADAS.",2008-01-25,,
44425.00.1,44425,"CARGADORAS DE PALA FRONTALES, AUTOPROPULSADAS.",,,
44426,4442,"PALAS MECANICAS, EXCAVADORAS Y CARGADORAS DE PALA CON SUPERESTRUCTURA GIRATORIA EN 360O, EXCEPTO CARGADORAS DE PALA FRONTALES, AUTOPROPULSADAS",2008-01-23,,
44426,44426,"PALAS MECANICAS, EXCAVADORAS Y CARGADORAS DE PALA CON SUPER ESTRUCTURA GIRATORIA DE 360 GRADOS, AUTOPROPULSADAS.",2008-01-25,,
44426.00.1,44426,"PALAS MECANICAS, EXCAVADORAS Y CARGADORAS DE PALA CON SUPER ESTRUCTURA GIRATORIA DE 360 GRADOS, AUTOPROPULSADAS.",,,
44427,4442,"PALAS, EXCAVADORAS Y CARGADORAS DE PALA MECANICA, EXCEPTO CARGADORAS DE PALA FRONTALES Y MAQUINARIA CON SUPERESTRUCTURA GIRATORIA EN 360O; MAQUINAS MOVEDORAS, CONFORMADORAS, NIVELADORAS, RAEDORAS, EXCAVADORAS, APISONADORAS, COMPACTADORAS, EXTRACTORASO PER",2008-01-23,,
44427,44427,"OTRAS  PALAS  MECANICAS,  EXCAVADORAS  Y  CARGADORAS  DE  PALAS, AUTOPROPULSADAS",2008-01-25,,
44427.00.1,44427,"OTRAS  PALAS  MECANICAS,  EXCAVADORAS  Y  CARGADORAS  DE  PALAS, AUTOPROPULSADAS",,,
44427.1,44427,"OTRAS MAQUINAS MOVEDORAS, CONFORMADORAS, NIVELADORAS, RAEDERAS, EXCAVADORAS, APISONADORAS, COMPACTADORAS O EXTRACTORAS, PARA TIERRA, MINERALES O MINAS, AUTOPROPULSADAS.",2008-01-25,,
44427.10.1,44427.1,"OTRAS MAQUINAS MOVEDORAS, CONFORMADORAS, NIVELADORAS, RAEDERAS, EXCAVADORAS, APISONADORAS, COMPACTADORAS O EXTRACTORAS, PARA TIERRA, MINERALES O MINAS, AUTOPROPULSADAS.",,,
44428,4442,VOLQUETES PARA USO FUERA DE CARRETERA,2008-01-23,,
44428,44428,VOLQUETES DISENADOS PARA USAR FUERA DE LAS CARRETERAS,2008-01-25,,
444280.00.2,44428,CAMIONES DE USO ESPECIAL EN CONSTRUCCIONES,2008-09-11,,
44428.00.1,44428,VOLQUETES DISENADOS PARA USAR FUERA DE LAS CARRETERAS (VOLQUETA),,,
44429,4442,HOJAS PARA TOPADORAS O TOPADORAS ANGULARES,2008-01-23,,
44429,44429,HOJAS PARA TOPADORAS O TOPADORAS ANGULARES.,2008-01-25,,
44429.00.1,44429,HOJAS PARA TOPADORAS O TOPADORAS ANGULARES.,,,
4443,444,HINCADORAS DE PILOTES Y EXTRACTORAS DE PILOTES; ARADOS DE NIEVE Y SOPLANIEVES; OTRAS MAQUINAS MOVEDORAS  CONFORMADORAS  NIVELADORAS  RAEDORAS  EXCAVADORAS  APISONADORAS  COMPACTADORAS O EXTRACTORAS PARA TIERRA  MINERALES O MENAS  NO AUTOPROPULSADAS; MAQUI,2008-01-25,,
44430,4443,"HINCADORAS DE PILOTES Y EXTRACTORAS DE PILOTES; ARADOS DE NIEVE Y SOPLANIEVES; OTRAS MAQUINAS MOVEDORAS, CONFORMADORAS, NIVELADORAS, RAEDORAS, EXCAVADORAS, APISONADORAS, COMPACTADORAS O EXTRACTORAS PARA TIERRA, MINERALES O MENAS NO AUTOPROPULSADAS;MAQUINA",2008-01-23,,
44430,44430,HINCADORAS DE PILOTES Y EXTRACTORAS DE PILOTES.,2008-01-25,,
44430.00.1,44430,HINCADORAS DE PILOTES Y EXTRACTORAS DE PILOTES.,,,
44430.01,44430,ARADOS DE NIEVE Y SOPLANIEVES (EXCEPTO LOS AUTOPROPULSADOS).,2008-01-25,,
44430.01.1,44430.01,ARADOS DE NIEVE Y SOPLANIEVES (EXCEPTO LOS AUTOPROPULSADOS).,,,
44430.02,44430,"MAQUINAS PARA APISONAR O COMPACTAR, NO AUTOPROPULSADAS: RODILLOS APISONADORES CON PATAS DE CARNERO, MAQUINAS AISLADORAS DE TIERRA, MINERALES O MINAS, ETC.",2008-01-25,,
44430.02.1,44430.02,"MAQUINAS PARA APISONAR O COMPACTAR, NO AUTOPROPULSADAS: RODILLOS APISONADORES CON PATAS DE CARNERO, MAQUINAS AISLADORAS DE TIERRA, MINERALES O MINAS, ETC.",,,
44430.03,44430,"RAEDORAS  (ESCARIFICADORAS), NO AUTOPROPULSADAS.",2008-01-25,,
44430.03.1,44430.03,"RAEDORAS  (ESCARIFICADORAS), NO AUTOPROPULSADAS.",,,
44430.04,44430,"OTRAS MAQUINAS PARA MOVER, CONFORMAR, NIVELAR, RAER, EXCAVAR, APISONAR, COMPACTAR, EXTRAER O PERFORAR TIERRA, MINERALES O MINA, NO AUTOPROPULSADAS: DRAGAS (EXCEPTO LAS FLOTANTES), DRAGAS DE CUCHARON PARA MOVIMIENTO DE TIERRA, MAQUINAS DE ARRANCAR RAICES.",2008-01-25,,
44430.04.1,44430.04,DRAGAS Y OTRAS BARREDORAS,,,
44430.04.2,44430.04,ACCESORIOS Y PIEZAS PARA EQUIPOS DE MINERIA,,,
44430.04.3,44430.04,"OTRAS MAQUINAS PARA MOVER, CONFORMAR, NIVELAR, RAER, EXCAVAR, APISONAR, COMPACTAR, EXTRAER O PERFORAR TIERRA, MINERALES O MINA, NO AUTOPROPULSADAS: DRAGAS (EXCEPTO LAS FLOTANTES), DRAGAS DE CUCHARON PARA MOVIMIENTO DE TIERRA, MAQUINAS DE ARRANCAR RAICES.",,,
44430.05,44430,"MAQUINARIA PARA OBRAS PUBLICAS, EDIFICIOS Y OBRAS SIMILARES, N.C.P.: BARREDERAS MECANICAS, PARA MONTARLAS SOBRE TRACTOR, CON EL TRACTOR O SIN EL, BARREDERAS MOTORIZADAS PARA CARRETERA, DIRIGIDAS POR PEATON, MAQUINAS AUTOPROPULSADAS, PARA EXTENDER MATERIAS",2008-01-25,,
44430.05.1,44430.05,"MAQUINARIA PARA OBRAS PUBLICAS, EDIFICIOS Y OBRAS SIMILARES, N.C.P.: BARREDERAS MECANICAS, PARA MONTARLAS SOBRE TRACTOR, CON EL TRACTOR O SIN EL, BARREDERAS MOTORIZADAS PARA CARRETERA, DIRIGIDAS POR PEATON, MAQUINAS AUTOPROPULSADAS, PARA EXTENDER MATERIAS",,,
4444,444,MAQUINAS PARA CLASIFICAR  CRIBAR  SEPARAR  LAVAR  TRITURAR  PULVERIZAR  MEZCLAR O AMASAR TIERRA  PIEDRAS  MENAS U OTRAS SUSTANCIAS MINERALES SOLIDAS; MAQUINAS PARA AGLOMERAR  CONFIGURAR O MOLDEAR COMBUSTIBLES SOLIDOS MINERALES  PASTAS CERAMICAS  CEMENTOS ,2008-01-25,,
44440,4444,"MAQUINAS PARA CLASIFICAR, CRIBAR, SEPARAR, LAVAR, TRITURAR, PULVERIZAR, MEZCLAR O AMASAR TIERRA, PIEDRAS, MENAS, U OTRAS SUSTANCIA MINERALES SOLIDAS; MAQUINAS PARA AGLOMERAR, CONFIGURAR O MOLDEAR COMBUSTIBLES SOLIDOS MINERALES, PASTAS CERAMICAS, CEMENTOS ",2008-01-23,,
44440,44440,"MAQUINAS  PARA  CLASIFICAR, CRIBAR, SEPARAR TIERRAS, PIEDRAS, MENAS U OTRAS SUBSTANCIAS MINERALES SOLIDAS (INCLUSO POLVOS Y PASTAS).",2008-01-25,,
44440.00.1,44440,"MAQUINAS  PARA  CLASIFICAR, CRIBAR, SEPARAR TIERRAS, PIEDRAS, MENAS U OTRAS SUBSTANCIAS MINERALES SOLIDAS (INCLUSO POLVOS Y PASTAS).",,,
44440.01,44440,"MAQUINAS PARA TRITURAR O PULVERIZAR TIERRA, PIEDRA, MENAS U OTRAS SUBSTANCIAS  MINERALES  SOLIDAS (INCLUSO POLVOS Y PASTAS): MAQUINAS DE AMASAR ARCILLAS EN PREPARACION PARA SU ULTERIOR ELABORACION EN LA INDUSTRIA DE LA CERAMICA,  MAQUINAS DE QUEBRANTAR CE",2008-01-25,,
44440.01.1,44440.01,"MAQUINAS PARA TRITURAR O PULVERIZAR TIERRA, PIEDRA, MENAS U OTRAS SUBSTANCIAS  MINERALES  SOLIDAS (INCLUSO POLVOS Y PASTAS): MAQUINAS DE AMASAR ARCILLAS EN PREPARACION PARA SU ULTERIOR ELABORACION EN LA INDUSTRIA DE LA CERAMICA,  MAQUINAS DE QUEBRANTAR CE",,,
